OBJECTID,PRIME,SOURCE,SACC,SDATE,DIVISION,FDMID,ADDDATE,MODDATE,Shape__Area,Shape__Length
50457,47,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,474D,,2019-10-29T12:46:03.000Z,17077199.75,19375.7243331124
50458,05,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,53A,,2019-10-29T12:46:03.000Z,1598033.9140625,6492.70503333274
50459,14,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,142A,,2019-10-29T12:46:03.000Z,1801532.4140625,6898.29369640608
50460,14,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,141A,,2019-10-29T12:46:03.000Z,1860964.9140625,7149.44104582829
50461,17,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,172A,,2019-10-29T12:46:03.000Z,5805323.6484375,13160.913822989
50462,65,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,651D,,2019-10-29T12:46:03.000Z,22723692.4765625,26045.9589087867
50463,38,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,381D,,2019-10-29T12:46:03.000Z,251517139.203125,71153.63353297
50464,47,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,472D,,2019-10-29T12:46:03.000Z,351166992.515625,90246.8395893255
50465,31,HRFE,Interactive,2015-10-22T00:00:00.000Z,6,310D,,2019-10-29T12:46:03.000Z,299515410.917969,90377.8847727898
50466,26,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,260D,,2019-10-29T12:46:03.000Z,718567206.667969,150510.965623057
50467,50,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,504B,,2019-10-29T12:46:03.000Z,9497009.765625,17056.8899920702
50468,41,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,410D,,2019-10-29T12:46:03.000Z,125140299.992188,69415.8509416981
50469,41,HRFE,Interactive,2012-08-13T00:00:00.000Z,4,414D,,2019-10-29T12:46:03.000Z,15885182.046875,22341.0929267585
50470,21,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,210D,,2019-10-29T12:46:03.000Z,15202301.7617188,19509.8504944282
50471,36,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,362D,,2019-10-29T12:46:03.000Z,203591037.367188,76450.0409120883
50472,24,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,242D,,2019-10-29T12:46:03.000Z,35708874.2695313,28879.231200316
50473,25,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,250D,,2019-10-29T12:46:03.000Z,65028369.9726563,40111.4222850949
50474,60,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,603D,,2019-10-29T12:46:03.000Z,27120833.5976563,23733.1670537475
50475,60,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,602B,,2019-10-29T12:46:03.000Z,9889014.20703125,18393.2336490789
50476,02,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,21A,,2019-10-29T12:46:03.000Z,810829.3671875,6050.07778874222
50477,21,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,211H,,2019-10-29T12:46:03.000Z,1105928.0234375,14390.5364840354
50478,13,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,131A,,2019-10-29T12:46:03.000Z,4637139.56640625,12301.9286528183
50479,23,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,231D,,2019-10-29T12:46:03.000Z,193082478.296875,95801.5400066996
50480,04,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,41A,,2019-10-29T12:46:03.000Z,2179338.29296875,12602.4130056718
50481,65,HRFE,Interactive,2012-09-12T00:00:00.000Z,1,654H,,2019-10-29T12:46:03.000Z,1513762.9609375,20103.5738216939
50482,03,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,31A,,2019-10-29T12:46:03.000Z,4304907.51171875,10385.8625272253
50483,03,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,32A,,2019-10-29T12:46:03.000Z,719408.51171875,3853.79153505333
50484,08,HRFE,Interactive,2013-02-07T00:00:00.000Z,2,88H,,2019-10-29T12:46:04.000Z,2572537.5859375,26101.4937245459
50485,10,HRFE,Interactive,2013-06-26T00:00:00.000Z,3,106H,,2019-10-29T12:46:03.000Z,1759203.47265625,24572.7210352683
50486,05,HRFE,Interactive,2013-02-07T00:00:00.000Z,2,55H,,2019-10-29T12:46:04.000Z,1324983.26171875,15634.3223883233
