CIV_POSTAL,CIV_ID,STR_CODE,GSA_NAME
B3K 2N7,59791,683,HALIFAX
B3P 2T6,123241,15497,HALIFAX
B3M 4B8,8467,921,HALIFAX
B3L 1L1,72230,169,HALIFAX
B3H 1T3,79337,765,HALIFAX
B3N 1M8,78147,325,HALIFAX
B3A 0B9,146179,6816,DARTMOUTH
B3R 1R5,86235,382,HALIFAX
B3N 1X6,21037,846,HALIFAX
B3M 2Z4,16796,930,HALIFAX
B2Y 4B5,52424,6172,DARTMOUTH
B3K 6B4,59002,1013,HALIFAX
B3A 3Z8,146463,6369,DARTMOUTH
B3N 1A2,81633,577,HALIFAX
B3L 2G1,73977,723,HALIFAX
B3L 2X4,73980,460,HALIFAX
B2X 3V3,122809,15646,DARTMOUTH
B2X 3V4,122835,15648,DARTMOUTH
B3R 2G9,25109,408,HALIFAX
B2Y 3C1,55668,6445,DARTMOUTH
B2Y 3E7,57127,6403,DARTMOUTH
B3L 1G8,72602,18,HALIFAX
B3H 2K4,74682,172,HALIFAX
B3L 3G7,74709,861,HALIFAX
B2X 2T7,109045,6178,DARTMOUTH
B3H 3K6,75538,393,HALIFAX
B3K 1P2,68680,593,HALIFAX
B3L 1J7,72029,473,HALIFAX
B3M 4X9,124659,15777,HALIFAX
B3K 2Z5,65971,140,HALIFAX
B3L 1J8,72416,473,HALIFAX
B3J 1H5,76127,770,HALIFAX
B2X 2X4,50421,6036,DARTMOUTH
B3A 3S6,50510,6260,DARTMOUTH
B3A 3Z2,50700,6009,DARTMOUTH
